[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Limit) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Attempts) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Attempts) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Limit) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Attempts) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(getBatchStatus) / TsFunSig() / TsTypeRef() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Timezone) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Timezone) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeIntersect() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeIntersect() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Timezone) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(list) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Timezone) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject() / TsMemberFunction(list) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(webhooks) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Draft) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(preview) / TsFunSig() / TsFunParam() / TsTypeObject())] 
