[info ] ExpandCallables.scala:57 Expanded updateLibrary into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Core))] 
[info ] ExpandCallables.scala:57 Expanded makeCommit into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded setBranchHash into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getBranchHash into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded createBranch into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded deleteBranch into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getBranches into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getHistory into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getCommits into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded createTag into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded deleteTag into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getTags into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded getCommonAncestorCommit into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(ProjectInterface))] 
[info ] ExpandCallables.scala:57 Expanded createBranch into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded createTag into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded deleteBranch into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded deleteTag into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getBranches into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getBranchHash into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getCommits into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getClassAncestorCommit into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getHistory into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded getTags into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded loadObject into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded loadPaths into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded makeCommit into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
