[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Pubkey) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pkh) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkPubkey) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pkh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pkh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Pubkey) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pkh) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkPubkeySignature) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pk) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_PubkeySignature) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pk) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkPubkeySignature) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pk) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pk) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_PubkeySignature) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2pk) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkN) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2ms) / TsFunSig() / TsFunParam() / TsTypeObject())] 
