[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(octokit,Some(rest)) [id => @octokit/rest, phase => typescript, file => ../@octokit/rest/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => @octokit/rest, phase => typescript] 
[info ] Phase1ReadTypescript.scala:171 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest),TsIdentLibraryScoped(octokit,Some(rest))),TsIdentModule(Some(octokit),List(rest))) [id => @octokit/rest, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(octokit),List(rest)) [id => @octokit/rest, phase => typescript] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListReceivedEventsForUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listReceivedEventsForUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListReceivedPublicEventsForUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listReceivedPublicEventsForUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListEventsForUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listEventsForUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListPublicEventsForUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listPublicEventsForUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListEventsForOrgParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listEventsForOrg) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListFeedsResponse) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listFeeds) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListNotificationsParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listNotifications) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityListNotificationsForRepoParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(listNotificationsForRepo) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityMarkAsReadParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(markAsRead) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityMarkNotificationsAsReadForRepoParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(markNotificationsAsReadForRepo) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityGetThreadParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(getThread) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityMarkThreadAsReadParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(markThreadAsRead) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivityGetThreadSubscriptionParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(getThreadSubscription) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsActivitySetThreadSubscriptionParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(activity) / TsTypeObject() / TsMemberProperty(setThreadSubscription) / TsTypeObject())] 
