[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibrarySimple(jsdom) [id => jsdom, phase => typescript, file => ../types/jsdom/index.d.ts] 
[debug] PhaseRunner.scala:78 Success [id => jsdom, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/jsdom/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/jsdom),TsIdentLibrarySimple(jsdom)),TsIdentModule(None,List(jsdom))) [id => jsdom, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(jsdom)) [id => jsdom, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(jsdom) [id => jsdom, phase => typescript] 
[warn ] QualifyReferences.scala:47 Couldn't qualify TsTypeRef(TsQIdent(List(TsIdentSimple(MarkupData), TsIdentSimple(ElementLocation))),List()), defaulting to any [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclClass(JSDOM) / TsMemberFunction(nodeLocation) / TsFunSig() / TsTypeUnion() / TsTypeRef())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(DOMImplementation)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(DOMImplementation) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(NodeList)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(NodeList) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(HTMLCollection)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(HTMLCollection) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(HTMLOptionsCollection)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(HTMLOptionsCollection) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(DOMStringMap)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(DOMStringMap) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(DOMTokenList)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(DOMTokenList) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(Event)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(Event) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(CustomEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(CustomEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(MessageEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(MessageEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(ErrorEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(ErrorEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(HashChangeEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(HashChangeEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(FocusEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(FocusEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(PopStateEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(PopStateEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(UIEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(UIEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(MouseEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(MouseEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(KeyboardEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(KeyboardEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(TouchEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(TouchEvent) / TsTypeQuery())] 
[info ] ResolveTypeQueries.scala:94 Resolved TsTypeQuery(TsQIdent(List(TsIdentLibrarySimple(std), TsIdentSimple(ProgressEvent)))) [id => jsdom, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jsdom) / TsExport() / TsExporteeTree() / TsDeclInterface(DOMWindow) / TsMemberProperty(ProgressEvent) / TsTypeQuery())] 
