[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(equals) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getSubdivisions) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isDifferentiable) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(length) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(lengthAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(scale) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(translate) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(translate) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(serialize) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toString) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclInterface(Segment))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(bbox) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(clone) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointNormalizedLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(closestPointTangent) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(containsPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divideAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(divide) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(endpointDistance) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
