[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Error))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Error) / TsDeclInterface(DocumentNotFoundError))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Error) / TsDeclInterface(ParallelSaveError))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Error) / TsDeclInterface(OverwriteModelError))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Error) / TsDeclInterface(MissingSchemaError))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Error) / TsDeclInterface(DivergentArrayError))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 25 members for TsIdentSimple(set) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema))] 
[info ] ExpandKeyOfTypeParams.scala:38 Expanding 25 members for TsIdentSimple(set) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(HookSyncCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(HookAsyncCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(HookErrorCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(HookNextFunction))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(HookDoneFunction))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(DefaultFn))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(RequiredFn))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(ValidateFn))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(AsyncValidateFn))] 
[info ] ExpandCallables.scala:57 Expanded validator into 1 methods [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(AsyncValidateOpts))] 
