[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_ExpandFullCircle) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(gauge) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Basis) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(spline) / TsTypeObject() / TsMemberProperty(interpolation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Interpolation) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartConfiguration) / TsMemberProperty(spline) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Value) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(keys) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_FormatI) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(labels) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_FormatKey) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(labels) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Text) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(empty) / TsTypeObject() / TsMemberProperty(label) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Label) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(empty) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_D) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Data) / TsMemberProperty(selection) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Left) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(XAxisConfiguration) / TsMemberProperty(padding) / TsTypeObject())] 
