[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toArray) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toArray) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toArray) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toArray) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclClass(Cursor))] 
[info ] ExpandTypeParams.scala:53 Expanding 1 call members [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Row))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(close) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(reconnect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(reconnect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(reconnect) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(server) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(server) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(use) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addListener) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(on) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Connection))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tableCreate) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Db))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tableDrop) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Db))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tableList) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Db))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(table) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Db))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(wait) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Db))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(update) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Writeable))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(replace) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Writeable))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(replace) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Writeable))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(delete) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Writeable))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasFields) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(HasFields))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasFields) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(HasFields))] 
[info ] PreferTypeAlias.scala:55 Simplified to type alias [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Polygon))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(indexCreate) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(indexDrop) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(indexList) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(indexWait) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(insert) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(insert) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(get) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAll) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getIntersecting) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(wait) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Table))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(between) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(coerceTo) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(coerceTo) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(merge) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(merge) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(filter) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
