[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(post) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Body) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Uri) [id => nock, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(nock) / TsDeclNamespace(nock) / TsDeclInterface(Scope) / TsMemberFunction(intercept) / TsFunSig() / TsFunParam() / TsTypeObject())] 
