[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Agent) / TsDeclInterface(SelfOptions))] 
[info ] ExpandCallables.scala:57 Expanded checks into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded services into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded members into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded self into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded maintenance into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded join into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded forceLeave into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent))] 
[info ] ExpandCallables.scala:57 Expanded list into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Node))] 
[info ] ExpandCallables.scala:57 Expanded services into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Node))] 
[info ] ExpandCallables.scala:57 Expanded list into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Service))] 
