[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(removeModule) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(setModules) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getNumberOfModules) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addGroup) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(removeGroup) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isInGroup) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getNumberOfGroups) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(compareTo) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(containsModule) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getModules) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getModulesIdent) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(remove) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(moveModule) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(integrate) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(split) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isEmpty) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(updateHash) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(canBeIntegrated) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
