[debug] PhaseRunner.scala:78 Success [id => office-js, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js),TsIdentLibrarySimple(office-js)),TsIdentModule(None,List(office-js))) [id => office-js, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(office-js) [id => office-js, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkAnalysis) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(RichText) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkAnalysisLine) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(FloatingInk) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkAnalysisWord) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkWord) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(TableCell) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Section) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Paragraph) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(NoteTag) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Notebook) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Page) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(TableRow) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Table) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Application) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(PageContent) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Outline) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkStroke) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(InkAnalysisParagraph) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(Image) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(OneNote) / TsDeclClass(SectionGroup) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(PivotLayout) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(RangeBorder) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartAxis) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartDataLabelFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(CustomXmlPart) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartPointFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartLegendEntry) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
